Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
274,Entry short,2025-10-17 15:00,MR-S | IN:TREND,4347.77,0.8,3478.216,0.33,0.01,0,129.88,3.73,-6.21,-0.18,303.18,0.30,32
275,Exit short,2025-10-21 21:00,MR TP1 | IN:MR | OUT:TREND,4138.955,0.2,852.996,25.21,2.95,0,36.82,4.32,-1.49,-0.18,328.39,0.33,5
275,Entry short,2025-10-21 16:00,MR-S | IN:MR,4264.98,0.2,852.996,25.21,2.95,0,36.82,4.32,-1.49,-0.18,328.39,0.33,5
276,Exit short,2025-10-23 03:00,RUN EXIT | IN:MR | OUT:MR,4098.055,0.8,3411.984,133.54,3.91,0,209.67,6.15,-5.98,-0.18,461.93,0.46,34
276,Entry short,2025-10-21 16:00,MR-S | IN:MR,4264.98,0.8,3411.984,133.54,3.91,0,209.67,6.15,-5.98,-0.18,461.93,0.46,34
277,Exit long,2025-10-27 10:00,MR FAIL | IN:MR | OUT:MR,4069.47,1,4130.37,-60.9,-1.47,0,8.64,0.21,-72.53,-1.76,401.03,0.40,11
277,Entry long,2025-10-24 22:00,MR-L | IN:MR,4130.37,1,4130.37,-60.9,-1.47,0,8.64,0.21,-72.53,-1.76,401.03,0.40,11
278,Exit long,2025-10-30 10:00,MR FAIL | IN:MR | OUT:MR,3937.862,1,3956.312,-18.45,-0.47,0,73.92,1.87,-41.59,-1.05,382.58,0.38,31
278,Entry long,2025-10-29 01:00,MR-L | IN:MR,3956.312,1,3956.312,-18.45,-0.47,0,73.92,1.87,-41.59,-1.05,382.58,0.38,31
279,Exit long,2025-10-30 14:00,MR FAIL | IN:MR | OUT:MR,3961.25,1,3976.94,-15.69,-0.39,0,0.52,0.01,-21.29,-0.54,366.89,0.37,1
279,Entry long,2025-10-30 13:00,MR-L | IN:MR,3976.94,1,3976.94,-15.69,-0.39,0,0.52,0.01,-21.29,-0.54,366.89,0.37,1
280,Exit long,2025-10-31 00:00,MR TP1 | IN:MR | OUT:MR,4004.488,0.2,795.306,5.59,0.70,0,8.3,1.04,-3.31,-0.42,372.48,0.37,9
280,Entry long,2025-10-30 15:00,MR-L | IN:MR,3976.53,0.2,795.306,5.59,0.70,0,8.3,1.04,-3.31,-0.42,372.48,0.37,9
281,Exit long,2025-11-01 00:00,RUN EXIT | IN:MR | OUT:MR,3997.482,0.8,3181.224,16.76,0.53,0,55.78,1.75,-13.26,-0.42,389.24,0.39,32
281,Entry long,2025-10-30 15:00,MR-L | IN:MR,3976.53,0.8,3181.224,16.76,0.53,0,55.78,1.75,-13.26,-0.42,389.24,0.39,32
282,Exit short,2025-11-04 11:00,MR TP1 | IN:MR | OUT:MR,3985.61,0.2,800.946,3.82,0.48,0,5.86,0.73,-2.06,-0.26,393.07,0.39,8
282,Entry short,2025-11-04 02:00,MR-S | IN:MR,4004.73,0.2,800.946,3.82,0.48,0,5.86,0.73,-2.06,-0.26,393.07,0.39,8
283,Exit short,2025-11-05 15:00,RUN EXIT | IN:MR | OUT:MR,3979.85,0.8,3203.784,19.9,0.62,0,61.05,1.91,-8.22,-0.26,412.97,0.41,35
283,Entry short,2025-11-04 02:00,MR-S | IN:MR,4004.73,0.8,3203.784,19.9,0.62,0,61.05,1.91,-8.22,-0.26,412.97,0.41,35
284,Exit short,2025-11-07 08:00,MR FAIL | IN:MR | OUT:MR,4001.66,1,3988.5,-13.16,-0.33,0,1.54,0.04,-14.28,-0.36,399.81,0.40,1
