Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
20,Entry long,2024-03-06 19:00,MR-L | IN:MR,5103.9,0.2,1020.78,7.52,0.74,0,7.96,0.78,-4.28,-0.42,59.36,0.06,25
21,Exit long,2024-03-08 23:00,RUN EXIT | IN:MR | OUT:MR,5146.9,0.8,4083.12,34.4,0.84,0,68.16,1.67,-17.12,-0.42,93.76,0.09,50
21,Entry long,2024-03-06 19:00,MR-L | IN:MR,5103.9,0.8,4083.12,34.4,0.84,0,68.16,1.67,-17.12,-0.42,93.76,0.09,50
22,Exit long,2024-03-12 18:00,MR TP1 | IN:MR | OUT:HYBRID,5133.2,0.2,1027.22,-0.58,-0.06,0,1.86,0.18,-1.14,-0.11,93.18,0.09,9
22,Entry long,2024-03-12 09:00,MR-L | IN:MR,5136.1,0.2,1027.22,-0.58,-0.06,0,1.86,0.18,-1.14,-0.11,93.18,0.09,9
23,Exit long,2024-03-14 02:00,RUN EXIT | IN:MR | OUT:MR,5169.5,0.8,4108.88,26.72,0.65,0,38.32,0.93,-18.48,-0.45,119.9,0.12,40
23,Entry long,2024-03-12 09:00,MR-L | IN:MR,5136.1,0.8,4108.88,26.72,0.65,0,38.32,0.93,-18.48,-0.45,119.9,0.12,40
24,Exit long,2024-03-19 02:00,MR TP1 | IN:MR | OUT:TREND,5153.9,0.2,1028.2,2.58,0.25,0,7.64,0.74,-0.9,-0.09,122.48,0.12,11
24,Entry long,2024-03-18 15:00,MR-L | IN:MR,5141,0.2,1028.2,2.58,0.25,0,7.64,0.74,-0.9,-0.09,122.48,0.12,11
25,Exit long,2024-03-19 18:00,RUN EXIT | IN:MR | OUT:MR,5133.3,0.8,4112.8,-6.16,-0.15,0,30.56,0.74,-9.52,-0.23,116.32,0.12,26
25,Entry long,2024-03-18 15:00,MR-L | IN:MR,5141,0.8,4112.8,-6.16,-0.15,0,30.56,0.74,-9.52,-0.23,116.32,0.12,26
26,Exit short,2024-03-25 18:00,MR TP1 | IN:TREND | OUT:MR,5219.3,0.2,1049.04,5.18,0.49,0,5.68,0.54,-1.6,-0.15,121.5,0.12,39
26,Entry short,2024-03-22 01:00,MR-S | IN:TREND,5245.2,0.2,1049.04,5.18,0.49,0,5.68,0.54,-1.6,-0.15,121.5,0.12,39
