Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
13,Entry long,2025-03-05 04:00,MR-L | IN:MR,87506,0.2,17501.2,570.8,3.26,0,682.2,3.90,-221.8,-1.27,-7397.49,-7.40,15
14,Exit long,2025-03-07 00:00,RUN EXIT | IN:MR | OUT:MR,88590,0.8,70004.8,867.2,1.24,0,4227.2,6.04,-887.2,-1.27,-6530.29,-6.53,44
14,Entry long,2025-03-05 04:00,MR-L | IN:MR,87506,0.8,70004.8,867.2,1.24,0,4227.2,6.04,-887.2,-1.27,-6530.29,-6.53,44
15,Exit long,2025-03-09 16:00,MR FAIL | IN:MR | OUT:MR,85507,1,86199,-692,-0.80,0,270,0.31,-798,-0.93,-7222.29,-7.22,14
15,Entry long,2025-03-09 02:00,MR-L | IN:MR,86199,1,86199,-692,-0.80,0,270,0.31,-798,-0.93,-7222.29,-7.22,14
16,Exit long,2025-03-10 21:00,MR FAIL | IN:MR | OUT:MR,79807,1,83483,-3676,-4.40,0,269,0.32,-4313,-5.17,-10898.29,-10.90,3
16,Entry long,2025-03-10 18:00,MR-L | IN:MR,83483,1,83483,-3676,-4.40,0,269,0.32,-4313,-5.17,-10898.29,-10.90,3
17,Exit long,2025-03-12 08:00,MR TP1 | IN:MR | OUT:HYBRID,83293,0.2,16041.4,617.2,3.85,0,705.2,4.40,-235.2,-1.47,-10281.09,-10.28,20
17,Entry long,2025-03-11 12:00,MR-L | IN:MR,80207,0.2,16041.4,617.2,3.85,0,705.2,4.40,-235.2,-1.47,-10281.09,-10.28,20
18,Exit long,2025-03-13 19:00,RUN EXIT | IN:MR | OUT:MR,82480,0.8,64165.6,1818.4,2.83,0,3384,5.27,-940.8,-1.47,-8462.69,-8.46,55
18,Entry long,2025-03-11 12:00,MR-L | IN:MR,80207,0.8,64165.6,1818.4,2.83,0,3384,5.27,-940.8,-1.47,-8462.69,-8.46,55
19,Exit long,2025-03-14 19:00,MR TP1 | IN:MR | OUT:MR,83406,0.2,16552,129.2,0.78,0,149,0.90,-20,-0.12,-8333.49,-8.33,3
19,Entry long,2025-03-14 16:00,MR-L | IN:MR,82760,0.2,16552,129.2,0.78,0,149,0.90,-20,-0.12,-8333.49,-8.33,3
20,Exit long,2025-03-15 19:00,RUN EXIT | IN:MR | OUT:MR,84155,0.8,66208,1116,1.69,0,2027.2,3.06,-97.6,-0.15,-7217.49,-7.22,27
20,Entry long,2025-03-14 16:00,MR-L | IN:MR,82760,0.8,66208,1116,1.69,0,2027.2,3.06,-97.6,-0.15,-7217.49,-7.22,27
21,Exit long,2025-03-18 05:00,MR TP1 | IN:MR | OUT:MR,84057,0.2,16690.2,121.2,0.73,0,258,1.55,-17.8,-0.11,-7096.29,-7.10,6
21,Entry long,2025-03-17 23:00,MR-L | IN:MR,83451,0.2,16690.2,121.2,0.73,0,258,1.55,-17.8,-0.11,-7096.29,-7.10,6
22,Exit long,2025-03-18 12:00,RUN EXIT | IN:MR | OUT:MR,83018,0.8,66760.8,-346.4,-0.52,0,1032,1.55,-476.8,-0.71,-7442.69,-7.44,13
22,Entry long,2025-03-17 23:00,MR-L | IN:MR,83451,0.8,66760.8,-346.4,-0.52,0,1032,1.55,-476.8,-0.71,-7442.69,-7.44,13
23,Exit long,2025-03-19 20:00,MR TP1 | IN:MR | OUT:TREND,84123,0.2,16607.8,216.8,1.31,0,255.6,1.54,-50,-0.30,-7225.89,-7.23,10
23,Entry long,2025-03-19 10:00,MR-L | IN:MR,83039,0.2,16607.8,216.8,1.31,0,255.6,1.54,-50,-0.30,-7225.89,-7.23,10
24,Exit long,2025-03-20 19:00,RUN EXIT | IN:MR | OUT:MR,85325,0.8,66431.2,1828.8,2.75,0,3544.8,5.34,-200,-0.30,-5397.09,-5.40,33
24,Entry long,2025-03-19 10:00,MR-L | IN:MR,83039,0.8,66431.2,1828.8,2.75,0,3544.8,5.34,-200,-0.30,-5397.09,-5.40,33
25,Exit long,2025-03-23 05:00,MR FAIL | IN:MR | OUT:MR,83964,1,84339,-375,-0.44,0,73,0.09,-485,-0.58,-5772.09,-5.77,13
25,Entry long,2025-03-22 16:00,MR-L | IN:MR,84339,1,84339,-375,-0.44,0,73,0.09,-485,-0.58,-5772.09,-5.77,13
26,Exit long,2025-03-23 19:00,MR TP1 | IN:MR | OUT:MR,84705,0.2,16841.8,99.2,0.59,0,155.8,0.93,-5.6,-0.03,-5672.89,-5.67,6
26,Entry long,2025-03-23 12:00,MR-L | IN:MR,84209,0.2,16841.8,99.2,0.59,0,155.8,0.93,-5.6,-0.03,-5672.89,-5.67,6
27,Exit long,2025-03-25 04:00,RUN EXIT | IN:MR | OUT:TREND,88139,0.8,67367.2,3144,4.67,0,3650.4,5.42,-22.4,-0.03,-2528.89,-2.53,39
27,Entry long,2025-03-23 12:00,MR-L | IN:MR,84209,0.8,67367.2,3144,4.67,0,3650.4,5.42,-22.4,-0.03,-2528.89,-2.53,39
28,Exit long,2025-03-29 17:00,MR FAIL | IN:HYBRID | OUT:HYBRID,82872,1,83519,-647,-0.77,0,0,0.00,-725,-0.87,-3175.89,-3.18,1
28,Entry long,2025-03-29 16:00,MR-L | IN:HYBRID,83519,1,83519,-647,-0.77,0,0,0.00,-725,-0.87,-3175.89,-3.18,1
29,Exit short,2025-03-30 06:00,TF EXIT | IN:HYBRID | OUT:HYBRID,82608,1,82872,264,0.32,0,1243,1.50,-190,-0.23,-2911.89,-2.91,13
29,Entry short,2025-03-29 17:00,TF-S | IN:HYBRID,82872,1,82872,264,0.32,0,1243,1.50,-190,-0.23,-2911.89,-2.91,13
