Trade number,Type,Date and time,Signal,Price CAD,Size (qty),Size (value),Net PnL CAD,Return %,Commission CAD,Favorable excursion CAD,Favorable excursion %,Adverse excursion CAD,Adverse excursion %,Cumulative PnL CAD,Cumulative PnL %,Duration (bars)
154,Exit long,2025-11-13 06:00,MR TP1 | IN:MR | OUT:MR,1.62372,0.2,0.324724,0.00002,0.01,0,0.0001,0.04,-0.0001,-0.02,-0.11,0.00,2
154,Entry long,2025-11-13 04:00,MR-L | IN:MR,1.62362,0.2,0.324724,0.00002,0.01,0,0.0001,0.04,-0.0001,-0.02,-0.11,0.00,2
155,Exit long,2025-11-14 17:00,RUN EXIT | IN:MR | OUT:HYBRID,1.63061,0.8,1.298896,0.01,0.43,0,0.01,0.65,-0.002,-0.12,-0.1,0.00,37
155,Entry long,2025-11-13 04:00,MR-L | IN:MR,1.62362,0.8,1.298896,0.01,0.43,0,0.01,0.65,-0.002,-0.12,-0.1,0.00,37
156,Exit long,2025-11-18 17:00,MR FAIL | IN:MR | OUT:MR,1.62548,1,1.62982,-0.004,-0.27,0,0.0002,0.01,-0.004,-0.27,-0.1,0.00,6
156,Entry long,2025-11-18 11:00,MR-L | IN:MR,1.62982,1,1.62982,-0.004,-0.27,0,0.0002,0.01,-0.004,-0.27,-0.1,0.00,6
157,Exit long,2025-11-20 01:00,MR FAIL | IN:MR | OUT:MR,1.61988,1,1.6211,-0.001,-0.08,0,0.0001,0.01,-0.001,-0.08,-0.11,0.00,1
157,Entry long,2025-11-20 00:00,MR-L | IN:MR,1.6211,1,1.6211,-0.001,-0.08,0,0.0001,0.01,-0.001,-0.08,-0.11,0.00,1
158,Exit long,2025-11-20 08:00,MR FAIL | IN:MR | OUT:MR,1.6193,1,1.621,-0.002,-0.10,0,0,0.00,-0.002,-0.11,-0.11,0.00,4
158,Entry long,2025-11-20 04:00,MR-L | IN:MR,1.621,1,1.621,-0.002,-0.10,0,0,0.00,-0.002,-0.11,-0.11,0.00,4
159,Exit long,2025-11-21 05:00,MR TP1 | IN:MR | OUT:TREND,1.62534,0.2,0.323906,0.001,0.36,0,0.001,0.46,-0.0003,-0.10,-0.11,0.00,12
159,Entry long,2025-11-20 17:00,MR-L | IN:MR,1.61953,0.2,0.323906,0.001,0.36,0,0.001,0.46,-0.0003,-0.10,-0.11,0.00,12
160,Exit long,2025-11-21 23:00,RUN EXIT | IN:MR | OUT:MR,1.62182,0.8,1.295624,0.002,0.14,0,0.01,0.53,-0.001,-0.10,-0.1,0.00,30
160,Entry long,2025-11-20 17:00,MR-L | IN:MR,1.61953,0.8,1.295624,0.002,0.14,0,0.01,0.53,-0.001,-0.10,-0.1,0.00,30
161,Exit short,2025-11-25 13:00,MR FAIL | IN:MR | OUT:MR,1.62648,1,1.62576,-0.001,-0.04,0,0.0001,0.01,-0.001,-0.07,-0.1,0.00,1
161,Entry short,2025-11-25 12:00,MR-S | IN:MR,1.62576,1,1.62576,-0.001,-0.04,0,0.0001,0.01,-0.001,-0.07,-0.1,0.00,1
162,Exit short,2025-11-27 14:00,MR TP1 | IN:MR | OUT:MR,1.62651,0.2,0.325828,0.001,0.16,0,0.001,0.20,-0.001,-0.17,-0.1,0.00,24
162,Entry short,2025-11-26 14:00,MR-S | IN:MR,1.62914,0.2,0.325828,0.001,0.16,0,0.001,0.20,-0.001,-0.17,-0.1,0.00,24
163,Exit short,2025-12-01 15:00,RUN EXIT | IN:MR | OUT:MR,1.624,0.8,1.303312,0.004,0.32,0,0.01,0.75,-0.002,-0.17,-0.1,0.00,73
163,Entry short,2025-11-26 14:00,MR-S | IN:MR,1.62914,0.8,1.303312,0.004,0.32,0,0.01,0.75,-0.002,-0.17,-0.1,0.00,73
164,Exit short,2025-12-03 12:00,MR FAIL | IN:MR | OUT:MR,1.62666,1,1.62335,-0.003,-0.20,0,0.001,0.03,-0.004,-0.22,-0.1,0.00,12
164,Entry short,2025-12-03 00:00,MR-S | IN:MR,1.62335,1,1.62335,-0.003,-0.20,0,0.001,0.03,-0.004,-0.22,-0.1,0.00,12
165,Exit short,2025-12-05 10:00,MR TP1 | IN:MR | OUT:MR,1.62557,0.2,0.325058,-0.0001,-0.02,0,0.0001,0.04,-0.0002,-0.05,-0.1,0.00,10
165,Entry short,2025-12-05 00:00,MR-S | IN:MR,1.62529,0.2,0.325058,-0.0001,-0.02,0,0.0001,0.04,-0.0002,-0.05,-0.1,0.00,10
166,Exit short,2025-12-08 15:00,RUN EXIT | IN:MR | OUT:TREND,1.61068,0.8,1.300232,0.01,0.90,0,0.01,1.03,-0.002,-0.12,-0.09,0.00,39
166,Entry short,2025-12-05 00:00,MR-S | IN:MR,1.62529,0.8,1.300232,0.01,0.90,0,0.01,1.03,-0.002,-0.12,-0.09,0.00,39
167,Exit short,2025-12-15 20:00,MR FAIL | IN:MR | OUT:MR,1.61744,1,1.6157,-0.002,-0.11,0,0.003,0.19,-0.004,-0.22,-0.09,0.00,30
167,Entry short,2025-12-12 14:00,MR-S | IN:MR,1.6157,1,1.6157,-0.002,-0.11,0,0.003,0.19,-0.004,-0.22,-0.09,0.00,30
168,Exit short,2025-12-17 11:00,MR TP1 | IN:MR | OUT:MR,1.61576,0.2,0.323008,-0.0001,-0.04,0,0.0001,0.02,-0.0005,-0.14,-0.09,0.00,10
168,Entry short,2025-12-17 01:00,MR-S | IN:MR,1.61504,0.2,0.323008,-0.0001,-0.04,0,0.0001,0.02,-0.0005,-0.14,-0.09,0.00,10
169,Exit short,2025-12-17 23:00,RUN EXIT | IN:MR | OUT:MR,1.62037,0.8,1.292032,-0.004,-0.33,0,0.002,0.13,-0.005,-0.36,-0.1,0.00,22
169,Entry short,2025-12-17 01:00,MR-S | IN:MR,1.61504,0.8,1.292032,-0.004,-0.33,0,0.002,0.13,-0.005,-0.36,-0.1,0.00,22
170,Exit short,2025-12-18 18:00,MR TP1 | IN:MR | OUT:MR,1.61522,0.2,0.323072,0.00003,0.01,0,0.0002,0.05,-0.0002,-0.07,-0.1,0.00,2
170,Entry short,2025-12-18 16:00,MR-S | IN:MR,1.61536,0.2,0.323072,0.00003,0.01,0,0.0002,0.05,-0.0002,-0.07,-0.1,0.00,2
171,Exit short,2025-12-19 17:00,RUN EXIT | IN:MR | OUT:MR,1.61604,0.8,1.292288,-0.001,-0.04,0,0.002,0.13,-0.003,-0.23,-0.1,0.00,25
171,Entry short,2025-12-18 16:00,MR-S | IN:MR,1.61536,0.8,1.292288,-0.001,-0.04,0,0.002,0.13,-0.003,-0.23,-0.1,0.00,25
172,Exit long,2025-12-22 20:00,MR TP1 | IN:MR | OUT:MR,1.61628,0.2,0.32317,0.0001,0.03,0,0.0004,0.11,-0.0002,-0.08,-0.1,0.00,17
172,Entry long,2025-12-20 03:00,MR-L | IN:MR,1.61585,0.2,0.32317,0.0001,0.03,0,0.0004,0.11,-0.0002,-0.08,-0.1,0.00,17
173,Exit long,2025-12-23 19:00,RUN EXIT | IN:MR | OUT:MR,1.61486,0.8,1.29268,-0.001,-0.06,0,0.002,0.13,-0.002,-0.12,-0.1,0.00,40
173,Entry long,2025-12-20 03:00,MR-L | IN:MR,1.61585,0.8,1.29268,-0.001,-0.06,0,0.002,0.13,-0.002,-0.12,-0.1,0.00,40
174,Exit long,2025-12-26 23:00,MR FAIL | IN:MR | OUT:MR,1.6077,1,1.61212,-0.004,-0.27,0,0.001,0.05,-0.005,-0.29,-0.1,0.00,14
174,Entry long,2025-12-26 09:00,MR-L | IN:MR,1.61212,1,1.61212,-0.004,-0.27,0,0.001,0.05,-0.005,-0.29,-0.1,0.00,14
175,Exit long,2025-12-29 09:00,MR FAIL | IN:MR | OUT:MR,1.60894,1,1.61001,-0.001,-0.07,0,0.0004,0.02,-0.001,-0.07,-0.1,0.00,2
175,Entry long,2025-12-29 07:00,MR-L | IN:MR,1.61001,1,1.61001,-0.001,-0.07,0,0.0004,0.02,-0.001,-0.07,-0.1,0.00,2
176,Exit long,2025-12-30 12:00,MR TP1 | IN:MR | OUT:MR,1.61142,0.2,0.32238,-0.0001,-0.03,0,0.0003,0.11,-0.001,-0.30,-0.1,0.00,22
176,Entry long,2025-12-29 14:00,MR-L | IN:MR,1.6119,0.2,0.32238,-0.0001,-0.03,0,0.0003,0.11,-0.001,-0.30,-0.1,0.00,22
177,Exit long,2025-12-31 01:00,RUN EXIT | IN:MR | OUT:HYBRID,1.6086,0.8,1.28952,-0.003,-0.20,0,0.001,0.11,-0.004,-0.30,-0.11,0.00,35
177,Entry long,2025-12-29 14:00,MR-L | IN:MR,1.6119,0.8,1.28952,-0.003,-0.20,0,0.001,0.11,-0.004,-0.30,-0.11,0.00,35
